文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	開始ページ	終了ページ	発行年月日
Symposium	大型計算機用関数近似についての一つの試み	Ja		1960					山内二郎					WPRO1960A01.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		1		1960
Symposium	山内の報告に対する討論	Ja		1960					渋谷政昭					WPRO1960A02.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		28		1960
Symposium	関数の関数をn回微分するためのサブルーチンとエルミット多項式H<sub>k</sub>(<i>x</i>)のサブルーチン	Ja		1960					戸田英雄;;山内二郎					WPRO1960A03.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		30		1960
Symposium	エラトステネスのふるいによる素数の計算について	Ja		1960					新井克彦					WPRO1960A04.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		45		1960
Symposium	ブロック・ダイヤグラム・シミュレータ	Ja		1960					田村康男					WPRO1960A05.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		51		1960
Symposium	Session Aの討論	Ja		1960										WPRO1960A06.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		63		1960
Symposium	行列の固有値	Ja		1960					島内武彦					WPRO1960B01.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		67		1960
Symposium	島内に対する討論	Ja		1960					松谷泰行					WPRO1960B02.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		79		1960
Symposium	行列計算の自動プログラミング	Ja		1960					島内武彦					WPRO1960B03.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		89		1960
Symposium	線型計算(連立一次方程式, L.P.)	Ja		1960					鈴木誠道					WPRO1960B04.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		93		1960
Symposium	Session Bの討論	Ja		1960										WPRO1960B05.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960				1960
Symposium	一二の慣用計算におけるNumerical Instabilityについて	Ja		1960					宇野利雄					WPRO1960C01.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		121		1960
Symposium	行列式その他のexact calculationに対する新方法	Ja		1960					高橋秀俊;;石橋善弘					WPRO1960C02.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		132		1960
Symposium	Session Cの講演要約及び討論	Ja		1960										WPRO1960C03.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		151		1960
Symposium	ALGOLの文法	Ja		1960					森口繁一					WPRO1960D01.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		155		1960
Symposium	FACOM-202に使用されるAutomatic Coding Routineについて	Ja		1960					井上謙蔵;;金光良衛					WPRO1960D02.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		178		1960
Symposium	SIS: Symbolic Interpretive System for IBM 650-653, Real and Complex Arithmetic	Ja		1960					竹下 享					WPRO1960D03.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		193		1960
Symposium	Session Dの講演要約	Ja		1960										WPRO1960D04.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960				1960
Symposium	巡回差集合による直交配列表の生成に関する問題について	Ja		1960					池野信一他					WPRO1960E01.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		203		1960
Symposium	Quineの問題に関するCubing Algorithmについて	Ja		1960					藤野精一					WPRO1960E02.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		221		1960
Symposium	数学の証明の計算機による実験のためのプログラミング	Ja		1960					高須 達					WPRO1960E03.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		235		1960
Symposium	U.L.の簡単なformulaの機械によるmoofの作成について	Ja		1960					杉林益太郎					WPRO1960E04.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		243		1960
Symposium	LKの証明プログラミング	Ja		1960					島内剛一					WPRO1960E05.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960		251		1960
Symposium	後記	Ja		1960										WPRO1960Z01.pdf	1960	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング・シンポジウム予稿集	1960				1960
文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	開始ページ	終了ページ	発行年月日
Symposium	PC-2におけるオーバー・フローの取扱いについて	Ja		1961					後藤英一					WPRO1961A01.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		A-1		1961
Symposium	浮動小数点計算における絶対値最小の非零数について	Ja		1961					桂重 俊;;高橋 理					WPRO1961A02.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		A-7		1961
Symposium	算法言語ALGOL 60	Ja		1961					清水留三郎					WPRO1961B01.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		B-1		1961
Symposium	MUCE SYSTEMについて	Ja		1961					菅 忠義;;関本彰次;;魚田勝臣					WPRO1961B02.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		B-39		1961
Symposium	NEAC-2203のALGOL Compiler	Ja		1961					竹中靖					WPRO1961B03.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		B-57		1961
Symposium	最近のProblem Oriented Languageについて	Ja		1961					今村茂雄					WPRO1961B04.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961				1961
Symposium	関数近似の基本理論	Ja		1961					宇野利雄					WPRO1961C01.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		C-1		1961
Symposium	多項式による最良近似法の定式化	Ja		1961					山下真一郎					WPRO1961C02.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		C-9		1961
Symposium	tan π/4 x の分数式近似	Ja		1961					坪井定一					WPRO1961C03.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		C-35		1961
Symposium	標準問題-----第一分科会の中間報告	Ja		1961										WPRO1961D01.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961				1961
Symposium	On an application of the pushdown technique	Ja		1961					藤野精一					WPRO1961E01.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		E-1		1961
Symposium	算術の問題を解くプログラム	Ja		1961					清水辰二郎					WPRO1961E02.pdf	1961	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング・シンポジウム予稿集	1961		E-18		1961
文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	開始ページ	終了ページ	発行年月日
Symposium	自動プログラミングにおけるsyntactic analysis	Ja		1962					高橋秀俊					WPRO1962A01.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		A-1		1962
Symposium	論理設計と自動プログラミング	Ja		1962					高橋 茂					WPRO1962A02.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		A-17		1962
Symposium	ALGOL 60のcompiler	Ja		1962					中島勝也;;藤野喜一;;小島惇					WPRO1962A03.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		A-33		1962
Symposium	M1BのAUTO CODE 1について	Ja		1962					池野信一					WPRO1962A04.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		A-72		1962
Symposium	関数近似と誤差の問題	Ja		1962					平野菅保					WPRO1962B01.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		B-1		1962
Symposium	有理関数近似の一様最良化について	Ja		1962					山内二郎					WPRO1962B02.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		B-13		1962
Symposium	2次の近似式について	Ja		1962					一松 信					WPRO1962B03.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		B-29		1962
Symposium	定積分計算における誤差評価	Ja		1962					高橋 理;;猪苗代勉					WPRO1962B04.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		B-37		1962
Symposium	Unnormalized Floating演算	Ja		1962					春海佳三郎;;大内 進					WPRO1962B05.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		B-43		1962
Symposium	IBM7070のおけるBusiness UseのProgram Systemについて	Ja		1962					西木俊彦;;松谷泰行					WPRO1962C01.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		C-1		1962
Symposium	CHIEF (UNIVAC III のExecutive Routine)について	Ja		1962					前田英明					WPRO1962C02.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		C-24		1962
Symposium	各種の分布をもつ乱数の生成	Ja		1962					渋谷政昭					WPRO1962D01.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		D-1		1962
Symposium	モンテカルロ法による捩り応力の計算	Ja		1962					石井威望;;岡村弘之;;新谷尚義;;多田敬子					WPRO1962D02.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		D-23		1962
Symposium	いくつかの型の偏微分方程式のモンテカルロ法による解法とその実験報告	Ja		1962					樋口一雄;;高橋利元					WPRO1962D03.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		D-41		1962
Symposium	モンテカルロ法による多重積分の計算	Ja		1962					津田孝夫					WPRO1962D04.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		D-61		1962
Symposium	モンテカルロ法による線型計算	Ja		1962					高橋磐郎					WPRO1962D05.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		D-71		1962
Symposium	神経のモデルの数値計算	Ja		1962					高田 勝;;清水留三郎					WPRO1962E01.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		E-1		1962
Symposium	Pattern Recognitionのための一つの試み	Ja		1962					小松彦三郎					WPRO1962E02.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		E-11		1962
Symposium	算術を解くプログラム	Ja		1962					清水辰二郎;;守本 浩					WPRO1962E03.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		E-33		1962
Symposium	記号処理と定理の機械的証明	Ja		1962					高須 達					WPRO1962E04.pdf	1962	0	IPSJ:学会員,0|DLIB:会員,0			第3回プログラミング・シンポジウム予稿集	1962		E-43		1962
文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	開始ページ	終了ページ	発行年月日
Symposium	データ処理理論の展望	Ja		1963					関根智明;;刀根 薫					WPRO1963A01.pdf	1963	0	IPSJ:学会員,0|DLIB:会員,0			第4回プログラミング・シンポジウム予稿集	1963		A-1		1963
Symposium	モニター・システム	Ja		1963					佐藤泰夫					WPRO1963B01.pdf	1963	0	IPSJ:学会員,0|DLIB:会員,0			第4回プログラミング・シンポジウム予稿集	1963		B-1		1963
